date,breach
2019-12-24,0
2020-01-23,0
2020-02-24,0
2020-04-23,0
2020-06-26,0
2020-08-17,0
2020-10-28,0
2020-12-16,1
2021-02-02,0
2021-03-22,0
2021-05-12,0
2021-06-25,1
2021-08-02,0
2021-09-30,0
2021-11-08,0
2021-12-09,0
2022-01-17,0
2022-02-25,0
2022-04-19,0
2022-06-07,0
2022-07-12,0
2022-08-11,0
2022-09-26,1
2022-11-04,0
2022-12-16,1
2023-01-23,0
2023-02-23,0
2023-04-03,0
2023-05-15,0
2023-06-21,0
2023-07-25,0
2023-08-29,0
2023-10-03,0
2023-11-03,0
2023-12-06,0
2024-01-08,0
2024-02-06,0
2024-03-06,0
2024-04-08,0
2024-05-08,0
2024-06-05,0
2024-07-03,0
2024-08-01,0
2024-08-30,0
2024-10-03,0
2024-11-04,0
2024-12-03,0
2025-01-03,1
2025-01-31,1
2025-03-03,0
2025-04-01,0
2025-05-05,0
2025-06-03,0
2025-07-01,0
2025-07-30,0
2025-08-28,0
2025-10-01,0
2025-11-10,0
2025-12-17,0
2026-01-20,0
2026-02-25,1
2026-04-07,0
