sim_id,model,alpha,t_test,breach_rate,kupiec_pval,christo_pval,es_realized
0,GARCH-t,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.3804204903384862
0,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.3804204903384862
0,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.4071600041833303
0,Historical-VaR,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.4071600041833303
0,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
0,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
0,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
0,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
0,GARCH-t,0.05,250,0.02,0.01373817726098514,1.0,2.374036293730849
0,GARCH-Normal,0.05,250,0.04,0.45291244993520263,1.0,1.8827399579468937
0,XGBoost-Q,0.05,250,0.048,0.8838996943305626,1.0,1.7844559346184328
0,Historical-VaR,0.05,250,0.056,0.6690657551458938,0.8060054340398742,1.680261477043056
0,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,3.6766329714216996
0,GARCH-Normal,0.01,250,0.012,0.7579883213733308,1.0,2.409830626625821
0,XGBoost-Q,0.01,250,0.028,0.01904923089052679,1.0,2.0203661795609626
0,Historical-VaR,0.01,250,0.008,0.7419327009525927,1.0,3.229632708597996
1,GARCH-t,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.8128672997495852
1,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.8128672997495852
1,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.445050883883746
1,Historical-VaR,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.8128672997495852
1,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
1,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
1,XGBoost-Q,0.01,58,0.034482758620689655,0.14285740777902822,1.0,1.5893182642733859
1,Historical-VaR,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.8128672997495852
1,GARCH-t,0.05,250,0.02,0.01373817726098514,1.0,1.6338241738972137
1,GARCH-Normal,0.05,250,0.036,0.28602152157354077,0.3157401924103128,1.5758134448495094
1,XGBoost-Q,0.05,250,0.032,0.16322015045707905,1.0,1.6425675123338577
1,Historical-VaR,0.05,250,0.06,0.4812385279526591,0.28020572726503534,1.4159903546827906
1,GARCH-t,0.01,250,0.0,0.024981503053449705,1.0,
1,GARCH-Normal,0.01,250,0.004,0.2780714900139599,1.0,1.7428128558556808
1,XGBoost-Q,0.01,250,0.0,0.024981503053449705,1.0,
1,Historical-VaR,0.01,250,0.016,0.380483738238954,1.0,1.743847467680566
2,GARCH-t,0.05,58,0.0,0.014717101200455551,1.0,
2,GARCH-Normal,0.05,58,0.08620689655172414,0.24909991485866112,0.3113630270442601,1.573079137837487
2,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.668369700506468
2,Historical-VaR,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7948714337344676
2,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
2,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
2,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
2,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
2,GARCH-t,0.05,250,0.02,0.01373817726098514,1.0,3.4503607741213442
2,GARCH-Normal,0.05,250,0.028,0.08280655204389309,1.0,3.044693411191454
2,XGBoost-Q,0.05,250,0.08,0.044446449306055236,0.6886363903622623,2.0283246647695314
2,Historical-VaR,0.05,250,0.068,0.21457514830975966,0.11531850247183639,2.1634664980208385
2,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,4.968003888042076
2,GARCH-Normal,0.01,250,0.016,0.380483738238954,1.0,3.739756062346538
2,XGBoost-Q,0.01,250,0.016,0.380483738238954,1.0,3.739756062346538
2,Historical-VaR,0.01,250,0.024,0.059353618972289524,0.11954364333624434,3.1633836768450636
3,GARCH-t,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.2195249733671607
3,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.2195249733671607
3,XGBoost-Q,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.8282716145724565
3,Historical-VaR,0.05,58,0.0,0.014717101200455551,1.0,
3,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
3,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
3,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
3,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
3,GARCH-t,0.05,250,0.02,0.01373817726098514,1.0,2.651761497659881
3,GARCH-Normal,0.05,250,0.072,0.1331391348605262,0.7675549258303029,2.0256511046889503
3,XGBoost-Q,0.05,250,0.152,1.6549969172885426e-09,0.6898740727739807,1.654229323774175
3,Historical-VaR,0.05,250,0.06,0.4812385279526591,0.28020572726503534,2.192215980660596
3,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,2.5770158163507157
