model,alpha,t_test,n_sim,mean_breach_rate,std_breach_rate,kupiec_rejection_rate,christo_rejection_rate,mean_es_realized,std_es_realized,mean_kupiec_pval,mean_christo_pval
GARCH-t,0.05,58,200,0.039569,0.041259,0.295,0.01,2.249444,1.110119,0.341224,0.939848
GARCH-t,0.05,250,200,0.04844,0.049057,0.53,0.035,2.360824,0.676125,0.219279,0.787773
GARCH-t,0.01,58,200,0.010603,0.020059,0.07,0.005,2.947032,1.183927,0.315072,0.98566
GARCH-t,0.01,250,200,0.01812,0.034156,0.455,0.035,3.067205,1.080523,0.233429,0.883735
XGBoost-Q,0.05,58,200,0.084397,0.059985,0.35,0.005,1.77772,0.622661,0.312873,0.805009
XGBoost-Q,0.05,250,200,0.09054,0.042707,0.6,0.105,1.871354,0.389236,0.17322,0.507228
XGBoost-Q,0.01,58,200,0.026897,0.035744,0.225,0.025,2.422184,0.965023,0.250711,0.944054
XGBoost-Q,0.01,250,200,0.03086,0.026413,0.49,0.11,2.645705,0.732973,0.222574,0.72188
Historical-VaR,0.05,58,200,0.053362,0.038518,0.2,0.035,2.035432,0.747749,0.389136,0.870653
Historical-VaR,0.05,250,200,0.05816,0.013491,0.07,0.095,2.09273,0.452968,0.467246,0.570401
Historical-VaR,0.01,58,200,0.01569,0.019646,0.11,0.005,2.762642,1.217851,0.325551,0.968836
Historical-VaR,0.01,250,200,0.01826,0.007213,0.14,0.065,2.829448,0.827224,0.347743,0.819812
GARCH-Normal,0.05,58,200,0.055,0.04535,0.24,0.005,2.042132,0.90968,0.391201,0.901891
GARCH-Normal,0.05,250,200,0.06096,0.047817,0.405,0.045,2.161619,0.563384,0.239,0.733576
GARCH-Normal,0.01,58,200,0.020259,0.028529,0.165,0.005,2.701888,1.168998,0.319101,0.964315
GARCH-Normal,0.01,250,200,0.02782,0.034837,0.39,0.05,2.727567,0.785424,0.263583,0.837145
