ticker,model,n_obs,breach_rate,conservatism_c,kupiec_pval,ci_lower_cp,ci_upper_cp
FIBRATC14.MX,GARCH-t,62,0.0484,-0.0016,0.9533,0.0101,0.135
FIBRATC14.MX,XGBoost-Pure,62,0.1129,0.0629,0.0492,0.0466,0.2189
FUNO11.MX,GARCH-t,95,0.0211,-0.0289,0.1451,0.0026,0.074
FUNO11.MX,XGBoost-Pure,95,0.0842,0.0342,0.1616,0.0371,0.1592
FIBRAPL14.MX,GARCH-t,95,0.0421,-0.0079,0.717,0.0116,0.1043
FIBRAPL14.MX,XGBoost-Pure,95,0.1368,0.0868,0.0012,0.0749,0.2226
^MXX,GARCH-t,95,0.0421,-0.0079,0.717,0.0116,0.1043
^MXX,XGBoost-Pure,95,0.0842,0.0342,0.1616,0.0371,0.1592
EWW,GARCH-t,96,0.0312,-0.0188,0.3666,0.0065,0.0886
EWW,XGBoost-Pure,96,0.0729,0.0229,0.3334,0.0298,0.1445
