Level,Model,n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,kupiec_stat,kupiec_pval,christo_stat,christo_pval,es_realized,alpha
95%,GARCH-Normal,38.0,3.0,0.0789,0.05,0.0,0.1842,0.5744,0.4485,2.7204,0.0991,0.0458,0.05
95%,GARCH-t,38.0,2.0,0.0526,0.05,0.0,0.1316,0.0055,0.9411,3.708,0.0542,0.0603,0.05
95%,XGBoost-Pure,38.0,3.0,0.0789,0.05,0.0,0.1842,0.5744,0.4485,2.7204,0.0991,0.0458,0.05
95%,XGBoost-Ensemble,38.0,4.0,0.1053,0.05,0.0263,0.2105,1.8801,0.1703,1.2376,0.2659,0.0381,0.05
95%,XGBoost-Quantile-Pure,38.0,6.0,0.1579,0.05,0.0526,0.2895,6.0832,0.0136,1.9603,0.1615,0.0323,0.05
95%,XGBoost-Quantile-GARCHX,38.0,4.0,0.1053,0.05,0.0263,0.2105,1.8801,0.1703,1.2376,0.2659,0.0371,0.05
95%,Historical-VaR,38.0,2.0,0.0526,0.05,0.0,0.1316,0.0055,0.9411,3.708,0.0542,0.0603,0.05
99%,GARCH-Normal,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011,0.01
99%,GARCH-t,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011,0.01
99%,XGBoost-Pure,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.0589,0.01
99%,XGBoost-Ensemble,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.0589,0.01
99%,XGBoost-Quantile-Pure,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.051,0.01
99%,XGBoost-Quantile-GARCHX,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011,0.01
99%,Historical-VaR,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011,0.01
